name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Arthur af Forselles;/wiki/Arthur_af_Forselles;;nobility;;;Q5492646;i-Rp2PztPk5dnCsvQTKH2P2F
Carl Axel Birger af Forselles;/wiki/Carl_Axel_Birger_af_Forselles;;nobility;;;;i-2g556HzWNUiGYftBbkrC5Z
Pehr Adolf Alf af Forselles;/wiki/Pehr_Adolf_Alf_af_Forselles;;nobility;;;;i-2Ss1PMTbudt7KdQFdTRFcG
Arthur William Forsman;/wiki/Arthur_William_Forsman;;nobility;;;;i-2dJVDxi9P9zCeZYiTSy5zw
Georg Fraser;/wiki/Georg_Fraser;;nobility;;;;i-MEoY3ZYgtDsM2D23r4yfXX
Charles Emil af Frosterus;/wiki/Charles_Emil_af_Frosterus;;nobility;;;;i-GMfCWWEUuVeJEHKYgMeo6H
Edvard Furuhjelm;/wiki/Edvard_Furuhjelm;;nobility;;;;i-4SZHDeG2hZDajPY4oRm8bV
Elis Furuhjelm;/wiki/Elis_Furuhjelm;;nobility;;;;i-CN9ba2YkypvRWcT57zJXWv
Elis Campbell Nicolas Furuhjelm;/wiki/Elis_Campbell_Nicolas_Furuhjelm;;nobility;;;;i-HDS4uGheZUgKFGSypVuhj7
Alexander Gadolin;/wiki/Alexander_Gadolin;;nobility;;;Q2152676;i-49wxrLYQpVUaP1HQGn1g3p
Claes Edvin Godenhjelm;/wiki/Claes_Edvin_Godenhjelm;;nobility;;;;i-AgCTsSPCdS4oz5dpEzWJuw
August Fredrik Granfelt;/wiki/August_Fredrik_Granfelt;;nobility;;;;i-KCWHHiMpyLd9LgBgzksu28
George Granfelt;/wiki/George_Granfelt;;nobility;;;Q11860393;i-XVwe7aSZ67FF9bsR45srHv
Hjalmar Granfelt;/wiki/Hjalmar_Granfelt;;nobility;;;Q5478877;i-LszJ9La6sjSXEUGEBJttyo
Aarne Gripenberg;/wiki/Aarne_Gripenberg;;nobility;;;;i-NBjMz9hr6symL5rEHweJfZ
Alexis Gripenberg;/wiki/Alexis_Gripenberg;varamaamarsalkka;nobility;;;;i-XAhPHpjCL41PGZ85XdBSmS
Bertel Gripenberg;/wiki/Bertel_Gripenberg;;nobility;;;Q3195304;i-HrCdohmsxB2j5RtBj33hSU
Gustaf Adolf Konstantin Gripenberg;/wiki/Gustaf_Adolf_Konstantin_Gripenberg;;nobility;;;;i-Nt8YGKJiiZ7gv6xC2bwbfr
Johan Axel Gripenberg;/wiki/Johan_Axel_Gripenberg;;nobility;;;;i-GbyfTXHevxWvXpYKfxzfVD
Lennart Gripenberg;/wiki/Lennart_Gripenberg;;nobility;;;Q4355145;i-C9KYhraNLJSN4TypRVTUUr
Mauritz Gripenberg;/wiki/Mauritz_Gripenberg;;nobility;;;;i-HmF96RYdQTCuQ9kU2oPUsj
Gösta Grotenfelt;/wiki/G%C3%B6sta_Grotenfelt;;nobility;;;;i-uD1joERTReE2GhVvugpy1
Julius Grotenfelt;/wiki/Julius_Grotenfelt;;nobility;;;;i-8QYakWUV2VeaBeSr6opb8f
Kustavi Grotenfelt;/wiki/Kustavi_Grotenfelt;;nobility;;;Q5773020;i-BdcCax9AbjJYKF3SaEwTau
Nils Bernt Grotenfelt;/wiki/Nils_Bernt_Grotenfelt;;nobility;;;;i-AtzZDHHkMR8JK9m5A1frvF
Nils Karl Ossian Grotenfelt;/wiki/Karl_Grotenfelt;;nobility;;;;i-Fqvx5ooU2nKu7WppxfCNor
Tor Nils Adolf Grotenfelt;/wiki/Tor_Nils_Adolf_Grotenfelt;;nobility;;;;i-C6EPxSGo8zoNw6eBd9AeNi
Carl August Gabriel von Haartman;/wiki/Carl_August_Gabriel_von_Haartman;;nobility;;;;i-SzsXtoTJnMbV9EcXuXLoAy
Johannes von Haartman;/wiki/Johannes_von_Haartman;;nobility;;;;i-SKPZwEKXE7hX71KKJrTCDN
Lars Emil von Haartman;/wiki/Lars_Emil_von_Haartman;;nobility;;;;i-QqBB3xoTfxVdjYr5NQonYt
Alfred Hackman;/wiki/Alfred_Hackman;;nobility;;;Q4722779;i-1764P2Vnu3yRnSonnYBdyo
Oskar Hackman;/wiki/Oskar_Hackman;;nobility;;;Q1785182;i-ThLyS2PmaP8M3K7ALK22pq
Wilhelm Hackman;/wiki/Wilhelm_Hackman;;nobility;;;;i-EQvj9fL5osnqMNoPpVA6wE
Edvard Robert Ludvig Hedenberg;/wiki/Edvard_Robert_Ludvig_Hedenberg;;nobility;;;;i-QyPgAFSeFwkAKAaSYDLYCy
Hugo Oskar Alexander Magnus von Heideman;/wiki/Hugo_Oskar_Alexander_Magnus_von_Heideman;;nobility;;;;i-A2GaSvBy1gWZzs8Xge9ifx
Harald August af Hellén;/wiki/Harald_August_af_Hell%C3%A9n;;nobility;;;;i-G8yreya82bfWU9dcq1F8hx
Ivar Theodor von Hellens;/wiki/Ivar_Theodor_von_Hellens;;nobility;;;;i-Jb74Z384UveFVagrdpb7Gu
Oskar von Hellens;/wiki/Oskar_von_Hellens;;nobility;;;;i-7ayx42GEfCQ4FXf5XqnXHe
Alexander Wilhelm af Heurlin;/wiki/Alexander_Wilhelm_af_Heurlin;;nobility;;;;i-Rj2c8ipnAPEZ4wgVvsAFh2
Valde Hirvikanta;/wiki/Valde_Hirvikanta;;nobility;;;Q4357279;i-F93JWBjLggDZB1c6SHCsfb
Gustaf Emil af Hällström;/wiki/Gustaf_Emil_af_H%C3%A4llstr%C3%B6m;;nobility;;;;i-FCru9fHyaNuhdvNj3ZMWok
Johannes Indrenius;/wiki/Johannes_Indrenius;;nobility;;;;i-MT4FXbmfE3E8zXeKT2YLpS
Albert Ludvig Lindsay von Julin;/wiki/Albert_Ludvig_Lindsay_von_Julin;;nobility;;;;i-VhermKHM28DnXffrtUcaPR
Johan Albert Edvard von Julin;/wiki/Johan_Albert_Edvard_von_Julin;;nobility;;;;i-RZrdQe9EF8epc2oUiYctkq
Nils Adolf Lindsay von Julin;/wiki/Nils_Adolf_Lindsay_von_Julin;;nobility;;;;i-LXEKkbJV1hNyAnsc347hp7
Rolf Jacob von Julin;/wiki/Rolf_Jacob_von_Julin;;nobility;;;;i-DoMTUzhCgrTNgKPPvWAefR
Carl Georg Jägerhorn;/wiki/Carl_Georg_J%C3%A4gerhorn;;nobility;;;;i-JXJu1gWaQyBLga9dujyF2Y
Reinhold Ernst Petter Jägerhorn;/wiki/Reinhold_Ernst_Petter_J%C3%A4gerhorn;;nobility;;;;i-T1J3nBEQ2dbgwg4zHwkNeU
Krister Ludvig Edvard Jägerskiöld;/wiki/Ludvig_Hisinger-J%C3%A4gerski%C3%B6ld;;nobility;;;;i-Dcjy8t7dMSXCDTPkfuVXgT
Krister Robert Otto Edgar Jägerskiöld;/wiki/Krister_Robert_Otto_Edgar_J%C3%A4gerski%C3%B6ld;;nobility;;;;i-JLC5S9cjvqGEQKtzrdZx6o
Jalo Järnefelt;/wiki/Jalo_J%C3%A4rnefelt;;nobility;;;;i-Bzs7yrrw7GC9b8QUnmsx8D
Tauno Järnefelt;/wiki/Tauno_J%C3%A4rnefelt;;nobility;;;;i-Csh2t8e4vQFJ5jd4fGxQUH
Adolf Ferdinand von Konow;/wiki/Adolf_Ferdinand_von_Konow;;nobility;;;;i-BZAwKB57hxWAxUW9igVcyV
Carl von Knorring;/wiki/Carl_von_Knorring;;nobility;;;;i-7WN4oA9QrB6HTtmiqA8Wao
Johannes Alarik von Knorring;/wiki/Johannes_Alarik_von_Knorring;;nobility;;;;i-XFSBcMLXvFzb27PDUYFm4d
Magnus Mikael von Kothen;/wiki/Magnus_Mikael_von_Kothen;;nobility;;;;i-AqNCzZorQgts4d814jQzws
Alexis von Kræmer;/wiki/Alexis_von_Kr%C3%A6mer;;nobility;;;;i-Uj41pyUbRiSWZy1yUqFnWq
Wilhelm Theodor von Kraemer;/wiki/Wilhelm_Theodor_von_Kraemer;;nobility;;;;i-DvsnxJr6R8m8r5wknzUSGc
Karl Otto Reinhold Ladau;/wiki/Karl_Otto_Reinhold_Ladau;;nobility;;;;i-U9xigf5EBj1snqzJ6rP55x
Alexander Gabriel Lagus;/wiki/Alexander_Gabriel_Lagus;;nobility;;;;i-FnbEx9QPcybRj3CQyvdiaM
Rolf Lagerborg;/wiki/Rolf_Lagerborg;;nobility;;;;i-PsuoFALePn9dpFRG2m5nm8
August Carl Adam Lagermarck;/wiki/August_Carl_Adam_Lagermarck;;nobility;;;;i-6QaodWBmrEpquzk5z6vnMq
Gustaf Adolf Langenskiöld;/wiki/Gustaf_Adolf_Langenski%C3%B6ld;;nobility;;;;i-SFc8hpHHMKPoBCPMh5HGZC
Ernst Lindelöf;/wiki/Ernst_Lindel%C3%B6f;;nobility;;;;i-RemteiT7sCE4ug9DvwUUZU
