person_id,wiki_id,name,is_primary
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,Robert Wilhelm de Geer,true
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,"Greve Robert Vilhelm de Geer, 1.Greve af Tervik",false
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,Robert Wilhelm De Geer,false
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,Robert Wilhelm De Geer af Tervik,false
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,Robert Wilhelm de Geer till Tervik,false
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,Роберт Вильгельм де Геер,false
i-EWnS8D5oELrZTGgrDxKuax,Q5618707,ロベルト・ヴィルヘルム・デ・ゲール,false
i-EmqNER47i1Nu1rJadKyiQw,Q5625521,Daniel Edvard Duncker,true
i-EmqNER47i1Nu1rJadKyiQw,Q5625521,Daniel Joachim Edward Duncker,false
i-EmqNER47i1Nu1rJadKyiQw,Q5625521,Daniel Joakim Edvard Duncker,false
,Q56399134,Feodor Kiseleff,true
,Q56399134,Fedor Kiselev,false
,Q56399134,Feodor Kiseleff den yngre,false
,Q56399134,Feodor Kiseleff nuorempi,false
,Q56399134,Fjodor Kisseljow,false
,Q56399134,Fyodor Kiselyov,false
,Q56399134,Фёдор Киселёв,false
i-W6Nd2mXWGmeP1J6mr9WBfx,Q56403348,Adolf Juselius,true
i-LYpQPnAEvBHwxddcikgnNW,Q56403428,Erik Johan Andelin,true
,Q56403554,Herman Fredrik Sohlberg,true
,Q56403559,Johan Matias Hackzell,true
,Q56403559,Johan Matthias Hackzell,false
i-S8BUZ6vnbJpzzmYXeu7wqs,Q56403648,Knut Svanljung,true
i-S8BUZ6vnbJpzzmYXeu7wqs,Q56403648,Knut August Svanljung,false
i-D1GPM5fGkX12cAZ2QV4vzv,Q56521046,Gustaf Leopold Söderström,true
i-D1GPM5fGkX12cAZ2QV4vzv,Q56521046,Gustaf Leopold Soderstrom,false
i-D1GPM5fGkX12cAZ2QV4vzv,Q56521046,Leopold Söderström,false
i-4c3gEuiKHjvByF6d2r7pSQ,Q56856392,Michael Hisinger,true
i-4c3gEuiKHjvByF6d2r7pSQ,Q56856392,Mikael Hisinger,false
,Q56879979,Petter Stenhagen,true
i-3nP8YuTqeTAw5agRhk1szM,Q5711432,Waldemar Eneberg,true
i-jgr1jkvdMBMBw64HgftTg,Q5719551,Carl Gustaf von Essen,true
i-PLyPRr4UAy58WNh8KVMjYT,Q5720008,Bernhard Estlander,true
i-PLyPRr4UAy58WNh8KVMjYT,Q5720008,Bernhard Rudolf Estlander,false
i-Xf4P3uUdXEXzZV8Cv8qecp,Q5720020,Ernst Estlander,true
i-Xf4P3uUdXEXzZV8Cv8qecp,Q5720020,Ernst Henrik Estlander,false
i-Xf4P3uUdXEXzZV8Cv8qecp,Q5720020,Эрнст Эстландер,false
i-Xf4P3uUdXEXzZV8Cv8qecp,Q5720020,ايرنست استلاندير,false
i-BtkiybKfkP1KVCMNqew6TJ,Q5720633,Anders Josef Europaeus,true
i-BtkiybKfkP1KVCMNqew6TJ,Q5720633,A. J. Europaeus,false
i-BtkiybKfkP1KVCMNqew6TJ,Q5720633,اندرس چوزيف يوروباوس,false
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,Edvard Gustaf af Forselles,true
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,Edvard af Forselles,false
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,"Форселлес, Эдуард Федорович",false
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,"Форселлес, Эдуард Фёдорович",false
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,Эдуард Федорович Форселлес,false
i-EgiNvPcaifKheMGDbyyqWE,Q5737055,Эдуард Фёдорович Форселлес,false
